ta000, &, 0.001, &, 32, &, 0.000, &, 36, &, 0.049, &, 39.0, &, 0.000, &, 34.8
ta001, &, 0.008, &, 1286, &, 0.000, &, 1466, &, 0.001, &, 1503.0, &, 0.001, &, 1309.0
ta002, &, 0.012, &, 1365, &, 0.000, &, 1505, &, 0.001, &, 1496.0, &, 0.001, &, 1391.6
ta003, &, 0.012, &, 1159, &, 0.000, &, 1436, &, 0.002, &, 1455.4, &, 0.000, &, 1197.0
ta004, &, 0.008, &, 1325, &, 0.000, &, 1548, &, 0.001, &, 1568.4, &, 0.000, &, 1371.6
ta005, &, 0.008, &, 1305, &, 0.000, &, 1447, &, 0.001, &, 1442.2, &, 0.001, &, 1322.2
ta006, &, 0.012, &, 1228, &, 0.000, &, 1398, &, 0.001, &, 1404.6, &, 0.001, &, 1251.6
ta007, &, 0.012, &, 1278, &, 0.000, &, 1596, &, 0.001, &, 1600.6, &, 0.001, &, 1297.4
ta008, &, 0.008, &, 1223, &, 0.004, &, 1584, &, 0.000, &, 1596.6, &, 0.002, &, 1275.0
ta009, &, 0.008, &, 1291, &, 0.000, &, 1716, &, 0.000, &, 1723.8, &, 0.001, &, 1319.8
ta010, &, 0.009, &, 1151, &, 0.000, &, 1455, &, 0.001, &, 1459.8, &, 0.001, &, 1207.2
ta011, &, 0.019, &, 1680, &, 0.000, &, 2069, &, 0.002, &, 2095.4, &, 0.000, &, 1692.2
ta012, &, 0.016, &, 1729, &, 0.000, &, 2127, &, 0.002, &, 2102.0, &, 0.001, &, 1786.0
ta013, &, 0.017, &, 1557, &, 0.000, &, 1827, &, 0.002, &, 1825.2, &, 0.001, &, 1610.0
ta014, &, 0.016, &, 1439, &, 0.000, &, 1761, &, 0.002, &, 1757.2, &, 0.002, &, 1466.2
ta015, &, 0.017, &, 1502, &, 0.000, &, 1822, &, 0.001, &, 1833.6, &, 0.001, &, 1567.2
ta016, &, 0.033, &, 1453, &, 0.000, &, 1774, &, 0.001, &, 1784.0, &, 0.001, &, 1484.4
ta017, &, 0.020, &, 1562, &, 0.004, &, 1984, &, 0.001, &, 1987.6, &, 0.001, &, 1635.6
ta018, &, 0.028, &, 1609, &, 0.000, &, 1935, &, 0.001, &, 1917.0, &, 0.002, &, 1694.2
ta019, &, 0.021, &, 1647, &, 0.000, &, 1931, &, 0.002, &, 1985.4, &, 0.002, &, 1696.2
ta020, &, 0.024, &, 1653, &, 0.000, &, 2057, &, 0.000, &, 2079.2, &, 0.001, &, 1686.8
ta021, &, 0.035, &, 2410, &, 0.000, &, 2832, &, 0.002, &, 2842.0, &, 0.001, &, 2470.6
ta022, &, 0.039, &, 2150, &, 0.000, &, 2511, &, 0.001, &, 2528.6, &, 0.001, &, 2208.8
ta023, &, 0.038, &, 2411, &, 0.000, &, 2674, &, 0.001, &, 2661.4, &, 0.003, &, 2456.0
ta024, &, 0.035, &, 2262, &, 0.000, &, 2960, &, 0.002, &, 2970.4, &, 0.003, &, 2314.2
